,time,name,x,y,z,number
0,1625125831.2563796,c50,1.46,4.76,1.0,1
1,1625125831.3839006,c50,1.16,4.56,1.0,1
2,1625125831.4499516,c50,1.45,4.75,1.0,1
3,1625125831.55233,c50,0.91,4.43,1.0,1
4,1625125831.6263127,c58a,1.41,4.19,1.0,2
5,1625125831.6670835,c50,1.21,4.2,1.0,1
6,1625125831.7566028,c50,1.55,4.33,1.0,1
7,1625125831.859651,c50,1.75,4.22,1.0,1
8,1625125831.9798698,c50,1.79,4.25,1.0,1
9,1625125832.1560636,c50,1.85,4.19,1.0,1
10,1625125832.283649,c50,1.82,4.19,1.0,1
11,1625125832.3635461,c50,1.79,4.35,1.0,1
12,1625125832.4712145,c50,1.61,4.29,1.0,1
13,1625125832.5807402,c50,0.98,4.38,1.0,1
14,1625125832.6604776,c50,0.94,4.62,1.0,1
15,1625125832.7668548,c50,1.43,4.72,1.0,1
16,1625125832.882278,c8a9,2.57,5.56,1.0,3
17,1625125832.8902535,c50,1.53,4.77,1.0,1
18,1625125832.9623046,c8a9,2.55,5.41,1.0,3
19,1625125832.9690633,c50,1.43,4.9,1.0,1
20,1625125833.066446,c50,1.42,4.87,1.0,1
21,1625125833.075467,c8a9,2.45,5.5,1.0,3
22,1625125833.1798484,c50,1.46,4.85,1.0,1
23,1625125833.1818476,c8a9,2.51,5.88,1.0,3
24,1625125833.2592142,c50,1.47,4.82,1.0,1
25,1625125833.3019724,c8a9,2.61,6.05,1.0,3
26,1625125833.3629706,c50,1.33,4.93,1.0,1
27,1625125833.3649654,c8a9,2.51,5.68,1.0,3
28,1625125833.4809403,c50,1.2,5.03,1.0,1
29,1625125833.4829352,c8a9,2.3,5.39,1.0,3
30,1625125833.5631387,c50,1.44,4.87,1.0,1
31,1625125833.5701294,c8a9,2.44,5.89,1.0,3
32,1625125833.6536837,c50,1.4,4.82,1.0,1
33,1625125833.695785,c8a9,2.09,6.47,1.0,3
34,1625125833.7446475,c50,1.47,4.82,1.0,1
35,1625125833.7848582,c8a9,2.57,6.15,1.0,3
36,1625125833.8330672,c50,1.45,4.89,1.0,1
37,1625125833.876335,c8a9,2.51,5.61,1.0,3
38,1625125833.9584384,c50,1.49,4.87,1.0,1
39,1625125834.000643,c8a9,2.48,5.27,1.0,3
40,1625125834.0436401,c50,0.99,4.55,1.0,1
41,1625125834.0824466,c8a9,2.51,5.28,1.0,3
42,1625125834.1250286,c50,1.46,4.81,1.0,1
43,1625125834.1676571,c8a9,2.46,6.58,1.0,3
44,1625125834.2513614,c50,1.03,4.49,1.0,1
45,1625125834.2563643,c8a9,2.56,6.56,1.0,3
46,1625125834.333284,c50,1.38,4.89,1.0,1
47,1625125834.3752933,c8a9,2.63,6.06,1.0,3
48,1625125834.4261556,c50,1.48,4.84,1.0,1
49,1625125834.4643354,c8a9,2.53,5.81,1.0,3
50,1625125834.5492234,c50,1.46,4.83,1.0,1
51,1625125834.5572019,c8a9,2.49,5.36,1.0,3
52,1625125834.6251786,c50,1.47,4.77,1.0,1
53,1625125834.6672368,c8a9,2.5,5.4,1.0,3
54,1625125834.7142725,c50,1.47,4.95,1.0,1
55,1625125834.7557724,c8a9,2.47,5.37,1.0,3
56,1625125834.8388176,c50,0.97,4.53,1.0,1
57,1625125834.850786,c8a9,2.5,5.41,1.0,3
58,1625125834.9194055,c50,1.02,4.56,1.0,1
59,1625125834.9612665,c8a9,2.55,5.33,1.0,3
60,1625125835.0131552,c50,1.5,4.87,1.0,1
61,1625125835.0582626,c8a9,2.59,5.35,1.0,3
62,1625125835.1389813,c50,1.48,4.83,1.0,1
63,1625125835.1799164,c8a9,2.55,5.38,1.0,3
64,1625125835.2240415,c50,1.48,4.78,1.0,1
65,1625125835.2621925,c8a9,2.56,5.29,1.0,3
66,1625125835.3137074,c50,0.96,4.49,1.0,1
67,1625125835.359591,c8a9,2.54,5.26,1.0,3
68,1625125835.4395506,c50,1.37,4.81,1.0,1
69,1625125835.442545,c8a9,2.59,5.32,1.0,3
70,1625125835.5082214,c50,1.01,4.58,1.0,1
71,1625125835.6127286,c50,1.44,4.72,1.0,1
72,1625125835.6577349,c8a9,2.59,5.39,1.0,3
