time,name,x,y,z
1625125831.2563794,c50,1.46,4.76,1.0
1625125831.3839006,c50,1.16,4.56,1.0
1625125831.4499514,c50,1.45,4.75,1.0
1625125831.55233,c50,0.91,4.43,1.0
1625125831.6263127,c58a,1.41,4.19,1.0
1625125831.6670837,c50,1.21,4.2,1.0
1625125831.7566028,c50,1.55,4.33,1.0
1625125831.859651,c50,1.75,4.22,1.0
1625125831.9798698,c50,1.79,4.25,1.0
1625125832.1560638,c50,1.85,4.19,1.0
1625125832.283649,c50,1.82,4.19,1.0
1625125832.363546,c50,1.79,4.35,1.0
1625125832.4712143,c50,1.61,4.29,1.0
1625125832.5807402,c50,0.98,4.38,1.0
1625125832.6604776,c50,0.94,4.62,1.0
1625125832.7668548,c50,1.43,4.72,1.0
1625125832.882278,c8a9,2.57,5.56,1.0
1625125832.8902535,c50,1.53,4.77,1.0
1625125832.9623044,c8a9,2.55,5.41,1.0
1625125832.9690633,c50,1.43,4.9,1.0
1625125833.066446,c50,1.42,4.87,1.0
1625125833.075467,c8a9,2.45,5.5,1.0
1625125833.1798484,c50,1.46,4.85,1.0
1625125833.1818478,c8a9,2.51,5.88,1.0
1625125833.259214,c50,1.47,4.82,1.0
1625125833.3019724,c8a9,2.61,6.05,1.0
1625125833.3629704,c50,1.33,4.93,1.0
1625125833.3649654,c8a9,2.51,5.68,1.0
1625125833.4809403,c50,1.2,5.03,1.0
1625125833.4829352,c8a9,2.3,5.39,1.0
1625125833.5631387,c50,1.44,4.87,1.0
1625125833.5701296,c8a9,2.44,5.89,1.0
1625125833.6536837,c50,1.4,4.82,1.0
1625125833.6957853,c8a9,2.09,6.47,1.0
1625125833.7446477,c50,1.47,4.82,1.0
1625125833.7848582,c8a9,2.57,6.15,1.0
1625125833.8330672,c50,1.45,4.89,1.0
1625125833.876335,c8a9,2.51,5.61,1.0
1625125833.9584382,c50,1.49,4.87,1.0
1625125834.000643,c8a9,2.48,5.27,1.0
1625125834.0436401,c50,0.99,4.55,1.0
1625125834.0824463,c8a9,2.51,5.28,1.0
1625125834.1250286,c50,1.46,4.81,1.0
1625125834.167657,c8a9,2.46,6.58,1.0
1625125834.2513611,c50,1.03,4.49,1.0
1625125834.2563646,c8a9,2.56,6.56,1.0
1625125834.3332841,c50,1.38,4.89,1.0
1625125834.3752933,c8a9,2.63,6.06,1.0
1625125834.4261558,c50,1.48,4.84,1.0
1625125834.4643357,c8a9,2.53,5.81,1.0
1625125834.5492234,c50,1.46,4.83,1.0
1625125834.557202,c8a9,2.49,5.36,1.0
1625125834.6251786,c50,1.47,4.77,1.0
1625125834.667237,c8a9,2.5,5.4,1.0
1625125834.7142723,c50,1.47,4.95,1.0
1625125834.7557724,c8a9,2.47,5.37,1.0
1625125834.8388174,c50,0.97,4.53,1.0
1625125834.850786,c8a9,2.5,5.41,1.0
1625125834.9194055,c50,1.02,4.56,1.0
1625125834.9612663,c8a9,2.55,5.33,1.0
1625125835.0131552,c50,1.5,4.87,1.0
1625125835.0582626,c8a9,2.59,5.35,1.0
